Segment 1,Segment 2,Segment 3,Segment 4,Segment 5,Segment 6,Segment 7,Segment 8,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,total
,steun-het-rijks,,,,,,,,,,,,,,,,,,,,27.0,15.0,4.0,,1.0,,,1.0,,,,,,48.0
,,assets,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,5.0,41.0,48.0
,join-us,,,,,,,,,,,,,,,,,,,,24.0,,7.0,7.0,2.0,,,1.0,,,,,,41.0
,assets,,,,,,,,,,,,1.0,,,,,,,14.0,,3.0,,22.0,,,,,,,,,,40.0
,wetenschap,,,,,,,1.0,36.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,38.0
catalogue,,,,,,,,,,,,,,,,2.0,26.0,,,7.0,,,,,,,,,,,,,,35.0
,,1853179--entries-rijksstudio-award-2017-top-30,,,,,,,,,,,,,,,,,,,,,,,33.0,,,,2.0,,,,,35.0
,aria_artists,,,,,,,,,,,3.0,29.0,,1.0,,,,,,,,,,,,,,,,,,,33.0
es,,,,,,,,1.0,6.0,3.0,,,,,,,,,,,,1.0,,1.0,,,2.0,3.0,,1.0,1.0,1.0,12.0,32.0
,,kunstkranten,,,,,,,7.0,,1.0,22.0,,,,,,,,,,,,,,,,,,,,,,30.0
,persmap,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,26.0
,kunstkranten,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,24.0
it,,,,,,,,,7.0,3.0,,,,,,,,,,,1.0,,,,,,,2.0,,,1.0,,10.0,24.0
,,steunafbeeldingen,,,,,,,,,,,,,,,,,,10.0,,3.0,,7.0,,,,,,,,,,20.0
,,index.htm,,,,,,9.0,10.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,20.0
,,69993--donald-kiel,,,,,,,,,,,,,,,,,,,,,,5.0,,,13.0,,,,,1.0,,19.0
maurits,,,,,,,,,1.0,9.0,8.0,,,,,,,,,,,,,,,,,,,,,,,18.0
,,hoofdafbeeldingen,,,,,,,,,,,,,,,,,,4.0,,,,14.0,,,,,,,,,,18.0
,aria_catalogs,,,,,,,,,,,3.0,14.0,,,,,,,1.0,,,,,,,,,,,,,,18.0
info,,,,,,,,,,,,7.0,4.0,,,,,,,,,,,,,,,,,,,,,11.0
,subhomepages,,,,,,,,,,,,,,,,3.0,4.0,,1.0,,,,1.0,,,,,,,,,,9.0
,thema,,,,,,,,,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,9.0
tentoonstellingen,,,,,,,,,,,,,5.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,8.0
