length,year,format,object_number
167261,2004,jpg,BK-Am-51-7
359128,2002,jpg,BK-Bfr-417
351178,2004,jpg,BK-NM-10513
370779,2004,jpg,BK-NM-12080
651713,2004,jpg,BK-NM-12969
299278,2004,jpg,BK-NM-13150
136414,2004,jpg,BK-NM-4191
279476,2004,jpg,BK-NM-4352
130822,2003,jpg,BK-NM-705
314623,2001,jpg,BK-NM-7325
33377,2004,jpg,BK-14656
1298,2004,jpg,BK-14656
52490,2004,jpg,BK-14656
10384,2004,jpg,BK-14692
5860,2004,jpg,BK-14692
10839,2004,jpg,BK-15378
10375,2004,jpg,BK-15378
8279,2004,jpg,BK-15396
11107,2004,jpg,BK-16628
11480,2004,jpg,BK-16628
15531,2004,jpg,BK-16629
14239,2004,jpg,BK-16629
13382,2004,jpg,BK-16643
9130,2004,jpg,BK-16643
8811,2004,jpg,BK-16643
14610,2004,jpg,BK-16643
13900,2004,jpg,BK-16643
3327,2004,jpg,BK-16933
7416,2004,jpg,BK-16933
4958,2004,jpg,BK-17009
22798,2004,jpg,BK-17523
18357,2004,jpg,BK-17523
6924,2004,jpg,BK-18305
9778,2004,jpg,BK-1953-19
2470,2004,jpg,BK-1953-19
7975,2004,jpg,BK-1953-23
15823,2004,jpg,BK-1954-43
12501,2004,jpg,BK-1954-43
16935,2004,jpg,BK-1954-44
11676,2004,jpg,BK-1954-46
11461,2004,jpg,BK-1954-69
11019,2004,jpg,BK-1954-69
11768,2004,jpg,BK-1954-69
7510,2004,jpg,BK-1958-44
7276,2004,jpg,BK-1959-14
8808,2004,jpg,BK-1959-14
6250,2004,jpg,BK-1959-14
6004,2004,jpg,BK-1959-2
4280,2004,jpg,BK-1959-2
8451,2004,jpg,BK-1959-2
11326,2004,jpg,BK-1959-3
4096,2004,jpg,BK-1959-47
38230,2004,jpg,BK-1959-63
9911,2004,jpg,BK-1960-11
3188,2004,jpg,BK-1960-13
12286,2004,jpg,BK-1962-49
13232,2004,jpg,BK-1962-49
11731,2004,jpg,BK-1962-49
9661,2004,jpg,BK-1964-2A
9830,2004,jpg,BK-1964-5
9736,2004,jpg,BK-1965-14
8735,2004,jpg,BK-1965-14
5944,2004,jpg,BK-1965-14
13211,2004,jpg,BK-1965-14
15100,2004,jpg,BK-1966-48
9324,2004,jpg,BK-1967-138
6058,2004,jpg,BK-1969-4
4313,2004,jpg,BK-1972-157
28423,2004,jpg,BK-1975-81
7854,2004,jpg,BK-1975-87-A
7571,2004,jpg,BK-1976-75
5825,2004,jpg,BK-1976-75
10079,2004,jpg,BK-1976-75
5689,2004,jpg,BK-1976-75
16161,2004,jpg,BK-1977-134
27734,2004,jpg,BK-1978-315
6294,2004,jpg,BK-1979-101
46079,2004,jpg,BK-1980-86
46757,2004,jpg,BK-1980-86
23264,2004,jpg,BK-1980-86
22843,2004,jpg,BK-1980-86
11537,2004,jpg,BK-1983-15
15497,2004,jpg,BK-1985-10
15683,2004,jpg,BK-1985-10
7923,2004,jpg,BK-1985-24
11336,2004,jpg,BK-1987-2
3218,2004,jpg,BK-1988-15
11888,2004,jpg,BK-1990-1
8248,2004,jpg,BK-1998-74
8114,2004,jpg,BK-1998-74
35722,2004,jpg,BK-2000-2
17405,2004,jpg,BK-2000-2
10083,2004,jpg,BK-2000-2
7615,2004,jpg,BK-AM-12
6171,2004,jpg,BK-AM-24
6736,2004,jpg,BK-Am-38
5422,2004,jpg,BK-Am-38
5792,2004,jpg,BK-Am-38
5513,2004,jpg,BK-Am-38
12052,2004,jpg,BK-B-93
10479,2004,jpg,BK-KOG-117
11617,2004,jpg,BK-KOG-117
3906,2004,jpg,BK-KOG-117
4586,2004,jpg,BK-KOG-133
5813,2004,jpg,BK-KOG-133
6280,2004,jpg,BK-KOG-133
4913,2004,jpg,BK-KOG-149
4441,2004,jpg,BK-KOG-1710
16560,2004,jpg,BK-KOG-656
11742,2004,jpg,BK-NM-10244
9404,2004,jpg,BK-NM-10244
8857,2004,jpg,BK-NM-10244
8009,2004,jpg,BK-NM-10244
7050,2004,jpg,BK-NM-10515
7605,2004,jpg,BK-NM-10515
18603,2004,jpg,BK-NM-10515
85359,2004,jpg,BK-NM-10556-A
8771,2004,jpg,BK-NM-10754-50
13366,2004,jpg,BK-NM-10754-50
10372,2004,jpg,BK-NM-10754-50
10659,2004,jpg,BK-NM-11647
7323,2004,jpg,BK-NM-11713
12405,2004,jpg,BK-NM-11859
7402,2004,jpg,BK-NM-11859
7995,2004,jpg,BK-NM-1195
8158,2004,jpg,BK-NM-12400-93
7480,2004,jpg,BK-NM-14202
5615,2004,jpg,BK-NM-1971
6554,2004,jpg,BK-NM-2806
7315,2004,jpg,BK-NM-2807
22638,2004,jpg,BK-NM-4313
8866,2004,jpg,BK-NM-5272
20036,2004,jpg,BK-NM-5326
21344,2004,jpg,BK-NM-5326
32600,2004,jpg,BK-NM-5326
29272,2004,jpg,BK-NM-5327
30629,2004,jpg,BK-NM-5327
29784,2004,jpg,BK-NM-5327
29984,2004,jpg,BK-NM-5327
33349,2004,jpg,BK-NM-5671
6096,2004,jpg,BK-NM-712
8898,2004,jpg,BK-NM-7371
7806,2004,jpg,BK-NM-8016
7580,2004,jpg,BK-NM-8186
7041,2004,jpg,BK-NM-8201
8631,2004,jpg,BK-NM-8845
6118,2004,jpg,BK-NM-8845
35484,2004,jpg,BK-1978-315
5161,2004,jpg,BK-1979-101
10457,2004,jpg,BK-1979-101
17463,2004,jpg,BK-14980
31544,2004,jpg,BK-16117
9430,2004,jpg,BK-16464
15779,2004,jpg,BK-16535
9261,2004,jpg,BK-16915
7111,2004,jpg,BK-16933
7589,2004,jpg,BK-16936
8092,2004,jpg,BK-16937
12900,2004,jpg,BK-16986
24479,2004,jpg,BK-17421
17740,2004,jpg,BK-17494
11484,2004,jpg,BK-1953-19
14186,2004,jpg,BK-1954-43
34039,2004,jpg,BK-1954-69
8788,2004,jpg,BK-1957-14
8231,2004,jpg,BK-1959-61
49599,2004,jpg,BK-1959-63
21824,2004,jpg,BK-1961-101
15678,2004,jpg,BK-1961-63
20284,2004,jpg,BK-1962-49
39395,2004,jpg,BK-1964-12
10703,2004,jpg,BK-1964-13
12448,2004,jpg,BK-1965-14
9713,2004,jpg,BK-1967-144
17779,2004,jpg,BK-1970-28
15431,2004,jpg,BK-1971-115-A
10378,2004,jpg,BK-1972-157
7421,2004,jpg,BK-1973-158
29279,2004,jpg,BK-1975-81
19952,2004,jpg,BK-1978-462
12247,2004,jpg,BK-1983-15
27691,2004,jpg,BK-1989-16
19084,2004,jpg,BK-1990-1
16096,2004,jpg,BK-1990-7
11319,2004,jpg,BK-1998-74
8421,2004,jpg,BK-1998-96
36231,2004,jpg,BK-1999-85
17584,2004,jpg,BK-AM-18-C
12042,2004,jpg,BK-Am-51-11
5039,2004,jpg,BK-Am-51-3
9684,2004,jpg,BK-B-116
6948,2004,jpg,BK-B-81
16602,2004,jpg,BK-Bfr-417
15637,2004,jpg,BK-Bfr-419
8519,2004,jpg,BK-C-1997-2
6198,2004,jpg,BK-KOG-117
5420,2004,jpg,BK-KOG-1668
36077,2004,jpg,BK-KOG-2567
13847,2004,jpg,BK-NM-10269
16339,2004,jpg,BK-NM-10513
21416,2004,jpg,BK-NM-10556-A
19521,2004,jpg,BK-NM-10557
30710,2004,jpg,BK-NM-10831
13834,2004,jpg,BK-NM-11163
16137,2004,jpg,BK-NM-11452
8346,2004,jpg,BK-NM-1195
11059,2004,jpg,BK-NM-12080
14842,2004,jpg,BK-NM-12400-91
23251,2004,jpg,BK-NM-12969
12222,2004,jpg,BK-NM-13150
15292,2004,jpg,BK-NM-14382
22268,2004,jpg,BK-NM-1916
9106,2004,jpg,BK-NM-2806
10238,2004,jpg,BK-NM-2807
9056,2004,jpg,BK-NM-4191
14590,2004,jpg,BK-NM-4352
9992,2004,jpg,BK-NM-5850
21260,2004,jpg,BK-NM-7459
6394,2004,jpg,BK-NM-7995
7596,2004,jpg,BK-NM-803
9548,2004,jpg,BK-NM-9001
11247,2004,jpg,BK-VBR-199
23875,2004,jpg,BK-VBR-395
1707,2003,jpg,NG-1972-17
1499,2001,jpg,NG-1977-279-2
2712,2002,jpg,NG-1977-4
2238,2001,jpg,NG-1983-16-A
6844,2003,jpg,NG-1983-3-A
1927,2002,jpg,NG-1991-8
1935,2001,jpg,NG-1993-2
1900,2003,jpg,NG-1997-1
7257,2004,jpg,NG-1998-7-10
1660,2002,jpg,NG-2000-5
1831,2003,jpg,NG-311
1511,2001,jpg,NG-402
3150,2001,jpg,NG-412
2126,2002,jpg,NG-444
2443,2002,jpg,NG-519
2339,2001,jpg,NG-530
1902,2001,jpg,NG-532
3074,2001,jpg,NG-539
1699,2000,jpg,NG-709-1
1885,2001,jpg,NG-71-A
2233,2001,jpg,NG-721
2390,2001,jpg,NG-731
2164,2001,jpg,NG-C-1995-25-1
2068,2001,jpg,NG-KOG-2654
3152,2002,jpg,NG-MC-1269
2575,2002,jpg,NG-MC-1412
2881,2001,jpg,NG-MC-239
1630,2001,jpg,NG-MC-829
2292,2002,jpg,NG-NM-10998
3590,2003,jpg,NG-NM-11552-86
2437,2001,jpg,NG-NM-11911
1463,2002,jpg,NG-NM-548
2231,2001,jpg,NG-NM-6098-1
1983,2001,jpg,NG-NM-6311
2040,2001,jpg,NG-NM-697
1749,2002,jpg,NG-NM-7445
2251,2001,jpg,NG-NM-764
2016,2001,jpg,NG-NM-7687
2275,2001,jpg,NG-NM-825
1726,2001,jpg,NG-NM-9659
1554,2001,jpg,NG-VG-1-406
1892,2001,jpg,NG-VG-1-407-A
2501,2001,jpg,NG-VG-1-482
2431,2001,jpg,NG-VG-1-538
2140,2001,jpg,NG-VG-1-569
2006,2001,jpg,NG-VG-1-594
29284,2004,jpg,NG-1991-20
28990,2004,jpg,NG-1991-20
8001,2004,jpg,NG-2002-23-4
3172,2004,jpg,NG-996
1830,2004,jpg,NG-997
9442,2004,jpg,NG-C-1995-29
4684,2004,jpg,NG-MC-7
7246,2004,jpg,NG-NM-6087-99
17357,2004,jpg,NG-NM-6098-A
7270,2004,jpg,NG-NM-6308
7084,2004,jpg,NG-NM-6311
47643,2004,jpg,NG-NM-764
5608,2004,jpg,NG-1977-279-2
17962,2004,jpg,NG-2000-3
5877,2004,jpg,NG-2002-23-3
10579,2004,jpg,NG-311
29286,2004,jpg,NG-KOG-1208
8187,2004,jpg,NG-NM-6098-1
15723,2004,jpg,NG-NM-9659
14690,2002,jpg,RP-F-F00634
24859,2001,jpg,RP-P-1912-2395
14785,2002,jpg,RP-P-1921-2064
18237,2002,jpg,RP-P-1939-119
17302,2002,jpg,RP-P-1960-134
23889,2002,jpg,RP-P-1962-121
43146,2002,jpg,RP-P-1962-39
14389,2002,jpg,RP-P-1962-9
17803,2002,jpg,RP-P-1979-80
20995,2004,jpg,RP-P-BI-906
21683,2003,jpg,RP-P-OB-1015
18522,2002,jpg,RP-P-OB-241
19495,2001,jpg,RP-P-OB-268
21978,2002,jpg,RP-P-OB-4635
15303,2004,jpg,RP-T-1887-A-1392
16229,2002,jpg,RP-T-1899-A-4301
16859,2003,jpg,RP-T-1953-140
15514,2003,jpg,RP-T-1960-243
18914,2001,jpg,RP-T-1962-65
7576,2002,jpg,RP-T-1973-9
20002,2002,jpg,RP-T-1992-3
1867,2001,jpg,RP-1956-754
4303,2001,jpg,RP-D-00-176
2792,2001,jpg,RP-F-00-565
2039,2001,jpg,RP-F-1996-60
2127,2001,jpg,RP-F-AB-12280-I
2219,2000,jpg,RP-F-AB-12280-M
3427,2001,jpg,RP-F-F00634
8176,2003,jpg,RP-F-F01149-AA
1917,2001,jpg,RP-F-F17662
8714,2003,jpg,RP-P-1878-A-1543
2232,2001,jpg,RP-P-1878-A-1698
3865,2002,jpg,RP-P-1878-A-925
2660,2002,jpg,RP-P-1883-A-6805
2345,2001,jpg,RP-P-1886-A-10296
5258,2003,jpg,RP-P-1888-A-13821
3166,2001,jpg,RP-P-1891-A-16463
2753,2001,jpg,RP-P-1898-A-20523
2393,2001,jpg,RP-P-1912-2395
1910,2001,jpg,RP-P-1921-2064
7458,2003,jpg,RP-P-1921-311
2159,2001,jpg,RP-P-1939-119
6364,2004,jpg,RP-P-1940-257
2840,2001,jpg,RP-P-1944-2829
1744,2001,jpg,RP-P-1949-611
3057,2001,jpg,RP-P-1952-183
3174,2001,jpg,RP-P-1956-25
