length,year,format,object_number
2237,2002,jpg,BK-KOG-593
2236,2001,jpg,BK-KOG-656
2089,2002,jpg,BK-NM-1009
3285,2001,jpg,BK-NM-1010
2523,2001,jpg,BK-NM-10222
3023,2001,jpg,BK-NM-10244-A
2151,2001,jpg,BK-NM-10269
2700,2001,jpg,BK-NM-10513
2488,2001,jpg,BK-NM-10515
2008,2001,jpg,BK-NM-10557
1780,2001,jpg,BK-NM-10754-336
1769,2001,jpg,BK-NM-10754-50
2241,2002,jpg,BK-NM-10798
8031,2004,jpg,BK-NM-10831
3055,2002,jpg,BK-NM-11131
2565,2001,jpg,BK-NM-11146
2088,2002,jpg,BK-NM-11163
1923,2001,jpg,BK-NM-11450
2249,2001,jpg,BK-NM-11452
2409,2001,jpg,BK-NM-11647
3121,2001,jpg,BK-NM-11702
1887,2001,jpg,BK-NM-11713
2539,2001,jpg,BK-NM-11859
1748,2001,jpg,BK-NM-1195
2023,2001,jpg,BK-NM-12080
1697,2001,jpg,BK-NM-1213
3088,2001,jpg,BK-NM-12231-A
2426,2001,jpg,BK-NM-12253
2602,2002,jpg,BK-NM-12400-400
2073,2002,jpg,BK-NM-12400-437
2353,2002,jpg,BK-NM-12400-443
2621,2001,jpg,BK-NM-12400-61
2053,2003,jpg,BK-NM-12400-93
2569,2001,jpg,BK-NM-125
2727,2001,jpg,BK-NM-12713
3224,2001,jpg,BK-NM-12969
1801,2001,jpg,BK-NM-13030
2319,2001,jpg,BK-NM-13112
2170,2001,jpg,BK-NM-13150
2379,2001,jpg,BK-NM-13258
2027,2002,jpg,BK-NM-14111
2900,2003,jpg,BK-NM-14201
2065,2002,jpg,BK-NM-14202
2508,2002,jpg,BK-NM-14348
2414,2002,jpg,BK-NM-14382
2265,2002,jpg,BK-NM-1914
3136,2001,jpg,BK-NM-1916
2345,2001,jpg,BK-NM-1971
1685,2003,jpg,BK-NM-2384
1887,2002,jpg,BK-NM-2806
2026,2003,jpg,BK-NM-2807
1898,2001,jpg,BK-NM-2865
2322,2002,jpg,BK-NM-2931
1804,2001,jpg,BK-NM-2934
2323,2001,jpg,BK-NM-3099
1875,2001,jpg,BK-NM-3888
2522,2002,jpg,BK-NM-3932
2219,2003,jpg,BK-NM-4150
1865,2001,jpg,BK-NM-4191
